workload,type,date_time,epoc_time,total_http
10000,cjdbc,107700,1523211107.700000,103.040022
10000,cjdbc,107750,1523211107.750000,122.939981
10000,cjdbc,107800,1523211107.800000,134.300004
10000,cjdbc,107850,1523211107.850000,116.999970
10000,cjdbc,107900,1523211107.900000,109.040008
10000,cjdbc,107950,1523211107.950000,101.480003
10000,cjdbc,108000,1523211108.000000,100.400002
10000,cjdbc,108050,1523211108.050000,99.220009
10000,cjdbc,108100,1523211108.100000,102.880010
10000,cjdbc,108150,1523211108.150000,101.020013
10000,cjdbc,108200,1523211108.200000,95.699983
10000,cjdbc,108250,1523211108.250000,95.420007
10000,cjdbc,108300,1523211108.300000,95.159998
10000,cjdbc,108350,1523211108.350000,97.199997
10000,cjdbc,108400,1523211108.400000,97.799952
10000,cjdbc,108450,1523211108.450000,97.940007
10000,cjdbc,108500,1523211108.500000,96.840004
10000,cjdbc,108550,1523211108.550000,98.140009
10000,cjdbc,108600,1523211108.600000,96.579988
10000,cjdbc,108650,1523211108.650000,96.460014
10000,cjdbc,108700,1523211108.700000,107.160003
10000,cjdbc,108750,1523211108.750000,116.860020
10000,cjdbc,108800,1523211108.800000,118.960009
10000,cjdbc,108850,1523211108.850000,116.159983
10000,cjdbc,108900,1523211108.900000,108.899992
10000,cjdbc,108950,1523211108.950000,102.399983
10000,cjdbc,109000,1523211109.000000,103.319983
10000,cjdbc,109050,1523211109.050000,106.220006
10000,cjdbc,109100,1523211109.100000,104.979986
10000,cjdbc,109150,1523211109.150000,109.279991
10000,cjdbc,109200,1523211109.200000,111.939999
10000,cjdbc,109250,1523211109.250000,115.439995
10000,cjdbc,109300,1523211109.300000,122.260006
10000,cjdbc,109350,1523211109.350000,131.879996
10000,cjdbc,109400,1523211109.400000,132.920023
10000,cjdbc,109450,1523211109.450000,137.259981
10000,cjdbc,109500,1523211109.500000,137.999990
10000,cjdbc,109550,1523211109.550000,131.820006
10000,cjdbc,109600,1523211109.600000,129.239989
10000,cjdbc,109650,1523211109.650000,127.379992
10000,cjdbc,109700,1523211109.700000,126.480018
10000,cjdbc,109750,1523211109.750000,120.199984
10000,cjdbc,109800,1523211109.800000,121.139984
10000,cjdbc,109850,1523211109.850000,124.779981
10000,cjdbc,109900,1523211109.900000,124.140006
10000,cjdbc,109950,1523211109.950000,121.559996
10000,cjdbc,110000,1523211110.000000,106.279973
10000,cjdbc,110050,1523211110.050000,101.919981
10000,cjdbc,110100,1523211110.100000,103.439988
10000,cjdbc,110150,1523211110.150000,99.100005
10000,cjdbc,110200,1523211110.200000,92.439998
10000,cjdbc,110250,1523211110.250000,89.639967
10000,cjdbc,110300,1523211110.300000,93.800002
10000,cjdbc,110350,1523211110.350000,90.300024
10000,cjdbc,110400,1523211110.400000,88.740021
10000,cjdbc,110450,1523211110.450000,91.399984
