date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523212661.300000,108,117,0,0,92,101,8,9,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.350000,113,114,0,0,94,95,9,8,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.400000,100,102,0,0,94,96,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.450000,107,102,0,0,92,87,14,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.500000,116,120,0,0,108,112,3,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.550000,103,106,0,0,96,98,5,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.600000,117,114,0,0,107,105,8,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.650000,123,115,0,0,113,105,4,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.700000,122,131,0,0,116,125,4,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.750000,126,119,0,0,119,112,2,1,0,0,4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.800000,106,115,0,0,99,108,5,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.850000,115,116,0,0,100,100,4,5,0,0,9,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.900000,112,103,0,0,92,84,18,17,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.950000,121,125,0,0,113,116,6,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212662.000000,118,115,0,0,111,109,3,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212662.050000,114,123,0,0,93,101,12,13,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212662.100000,128,100,0,0,120,93,6,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
