date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523213229.150000,0.040577,0.040577,0.000000,0.000000,0.000000,0.064275,0.064275,0.000000,0.000000,0.000000
1523213229.200000,0.058966,0.058966,0.000000,0.000000,0.000000,0.053193,0.053193,0.000000,0.000000,0.000000
1523213229.250000,0.002455,0.002455,0.000000,0.000000,0.000000,0.067587,0.067587,0.000000,0.000000,0.000000
1523213229.300000,0.033576,0.033576,0.000000,0.000000,0.000000,0.045254,0.045254,0.000000,0.000000,0.000000
1523213229.350000,0.046989,0.046989,0.000000,0.000000,0.000000,0.019370,0.019370,0.000000,0.000000,0.000000
1523213229.400000,0.039375,0.039375,0.000000,0.000000,0.000000,0.021397,0.021397,0.000000,0.000000,0.000000
1523213229.450000,0.042246,0.042246,0.000000,0.000000,0.000000,0.051988,0.051988,0.000000,0.000000,0.000000
1523213229.500000,0.015812,0.015812,0.000000,0.000000,0.000000,0.041500,0.041500,0.000000,0.000000,0.000000
1523213229.550000,0.035581,0.035581,0.000000,0.000000,0.000000,0.029423,0.029423,0.000000,0.000000,0.000000
1523213229.600000,0.067245,0.067245,0.000000,0.000000,0.000000,0.038857,0.038857,0.000000,0.000000,0.000000
1523213229.650000,0.031154,0.031154,0.000000,0.000000,0.000000,0.037557,0.037557,0.000000,0.000000,0.000000
1523213229.700000,0.022554,0.022554,0.000000,0.000000,0.000000,0.061468,0.061468,0.000000,0.000000,0.000000
1523213229.750000,0.058302,0.058302,0.000000,0.000000,0.000000,0.044216,0.044216,0.000000,0.000000,0.000000
1523213229.800000,0.045903,0.045903,0.000000,0.000000,0.000000,0.033525,0.033525,0.000000,0.000000,0.000000
1523213229.850000,0.039405,0.039405,0.000000,0.000000,0.000000,0.029756,0.029756,0.000000,0.000000,0.000000
1523213229.900000,0.052889,0.052889,0.000000,0.000000,0.000000,0.043064,0.043064,0.000000,0.000000,0.000000
1523213229.950000,0.067649,0.067649,0.000000,0.000000,0.000000,0.066333,0.066333,0.000000,0.000000,0.000000
1523213230.000000,0.084312,0.084312,0.000000,0.000000,0.000000,0.056000,0.056000,0.000000,0.000000,0.000000
1523213230.050000,0.058791,0.058791,0.000000,0.000000,0.000000,0.071738,0.071738,0.000000,0.000000,0.000000
1523213230.100000,0.085944,0.085944,0.000000,0.000000,0.000000,0.055029,0.055029,0.000000,0.000000,0.000000
1523213230.150000,0.035136,0.035136,0.000000,0.000000,0.000000,0.057892,0.057892,0.000000,0.000000,0.000000
