date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523223505.950000,0,0,0,0,0,0,0,0,0,0
1523223506.000000,0,0,0,0,0,0,0,0,0,0
1523223506.050000,0,0,0,0,0,0,0,0,0,0
1523223506.100000,0,0,0,0,0,0,0,0,0,0
1523223506.150000,0,0,0,0,0,0,0,0,0,0
1523223506.200000,0,0,0,0,0,0,0,0,0,0
1523223506.250000,0,0,0,0,0,0,0,0,0,0
1523223506.300000,0,0,0,0,0,0,0,0,0,0
1523223506.350000,0,0,0,0,0,0,0,0,0,0
1523223506.400000,0,0,0,0,0,0,0,0,0,0
1523223506.450000,0,0,0,0,0,0,0,0,0,0
1523223506.500000,0,0,0,0,0,0,0,0,0,0
1523223506.550000,0,0,0,0,0,0,0,0,0,0
1523223506.600000,0,0,0,0,0,0,0,0,0,0
1523223506.650000,0,0,0,0,0,0,0,0,0,0
1523223506.700000,0,0,0,0,0,0,0,0,0,0
1523223506.750000,0,0,0,0,0,0,0,0,0,0
1523223506.800000,0,0,0,0,0,0,0,0,0,0
1523223506.850000,0,0,0,0,0,0,0,0,0,0
1523223506.900000,0,0,0,0,0,0,0,0,0,0
1523223506.950000,0,0,0,0,0,0,0,0,0,0
1523223507.000000,0,0,0,0,0,0,0,0,0,0
1523223507.050000,0,0,0,0,0,0,0,0,0,0
1523223507.100000,0,0,0,0,0,0,0,0,0,0
1523223507.150000,0,0,0,0,0,0,0,0,0,0
1523223507.200000,0,0,0,0,0,0,0,0,0,0
1523223507.250000,0,0,0,0,0,0,0,0,0,0
1523223507.300000,0,0,0,0,0,0,0,0,0,0
1523223507.350000,0,0,0,0,0,0,0,0,0,0
1523223507.400000,0,0,0,0,0,0,0,0,0,0
1523223507.450000,0,0,0,0,0,0,0,0,0,0
1523223507.500000,0,0,0,0,0,0,0,0,0,0
1523223507.550000,0,0,0,0,0,0,0,0,0,0
1523223507.600000,0,0,0,0,0,0,0,0,0,0
1523223507.650000,0,0,0,0,0,0,0,0,0,0
1523223507.700000,0,0,0,0,0,0,0,0,0,0
1523223507.750000,0,0,0,0,0,0,0,0,0,0
1523223507.800000,0,0,0,0,0,0,0,0,0,0
1523223507.850000,0,0,0,0,0,0,0,0,0,0
1523223507.900000,0,0,0,0,0,0,0,0,0,0
1523223507.950000,0,0,0,0,0,0,0,0,0,0
1523223508.000000,0,0,0,0,0,0,0,0,0,0
1523223508.050000,0,0,0,0,0,0,0,0,0,0
1523223508.100000,0,0,0,0,0,0,0,0,0,0
1523223508.150000,0,0,0,0,0,0,0,0,0,0
1523223508.200000,0,0,0,0,0,0,0,0,0,0
1523223508.250000,0,0,0,0,0,0,0,0,0,0
1523223508.300000,0,0,0,0,0,0,0,0,0,0
1523223508.350000,0,0,0,0,0,0,0,0,0,0
1523223508.400000,0,0,0,0,0,0,0,0,0,0
1523223508.450000,0,0,0,0,0,0,0,0,0,0
1523223508.500000,0,0,0,0,0,0,0,0,0,0
1523223508.550000,0,0,0,0,0,0,0,0,0,0
1523223508.600000,0,0,0,0,0,0,0,0,0,0
1523223508.650000,0,0,0,0,0,0,0,0,0,0
1523223508.700000,0,0,0,0,0,0,0,0,0,0
1523223508.750000,0,0,0,0,0,0,0,0,0,0
1523223508.800000,0,0,0,0,0,0,0,0,0,0
1523223508.850000,0,0,0,0,0,0,0,0,0,0
1523223508.900000,0,0,0,0,0,0,0,0,0,0
1523223508.950000,0,0,0,0,0,0,0,0,0,0
1523223509.000000,0,0,0,0,0,0,0,0,0,0
1523223509.050000,0,0,0,0,0,0,0,0,0,0
1523223509.100000,0,0,0,0,0,0,0,0,0,0
1523223509.150000,0,0,0,0,0,0,0,0,0,0
1523223509.200000,0,0,0,0,0,0,0,0,0,0
1523223509.250000,0,0,0,0,0,0,0,0,0,0
1523223509.300000,0,0,0,0,0,0,0,0,0,0
1523223509.350000,0,0,0,0,0,0,0,0,0,0
1523223509.400000,0,0,0,0,0,0,0,0,0,0
1523223509.450000,0,0,0,0,0,0,0,0,0,0
1523223509.500000,0,0,0,0,0,0,0,0,0,0
1523223509.550000,0,0,0,0,0,0,0,0,0,0
1523223509.600000,0,0,0,0,0,0,0,0,0,0
1523223509.650000,0,0,0,0,0,0,0,0,0,0
1523223509.700000,0,0,0,0,0,0,0,0,0,0
1523223509.750000,0,0,0,0,0,0,0,0,0,0
1523223509.800000,0,0,0,0,0,0,0,0,0,0
1523223509.850000,0,0,0,0,0,0,0,0,0,0
1523223509.900000,0,0,0,0,0,0,0,0,0,0
1523223509.950000,0,0,0,0,0,0,0,0,0,0
1523223510.000000,0,0,0,0,0,0,0,0,0,0
1523223510.050000,0,0,0,0,0,0,0,0,0,0
1523223510.100000,0,0,0,0,0,0,0,0,0,0
1523223510.150000,0,0,0,0,0,0,0,0,0,0
1523223510.200000,0,0,0,0,0,0,0,0,0,0
1523223510.250000,0,0,0,0,0,0,0,0,0,0
1523223510.300000,0,0,0,0,0,0,0,0,0,0
1523223510.350000,0,0,0,0,0,0,0,0,0,0
1523223510.400000,0,0,0,0,0,0,0,0,0,0
1523223510.450000,0,0,0,0,0,0,0,0,0,0
1523223510.500000,0,0,0,0,0,0,0,0,0,0
1523223510.550000,0,0,0,0,0,0,0,0,0,0
1523223510.600000,0,0,0,0,0,0,0,0,0,0
1523223510.650000,0,0,0,0,0,0,0,0,0,0
1523223510.700000,0,0,0,0,0,0,0,0,0,0
1523223510.750000,0,0,0,0,0,0,0,0,0,0
1523223510.800000,0,0,0,0,0,0,0,0,0,0
1523223510.850000,0,0,0,0,0,0,0,0,0,0
1523223510.900000,0,0,0,0,0,0,0,0,0,0
1523223510.950000,0,0,0,0,0,0,0,0,0,0
1523223511.000000,0,0,0,0,0,0,0,0,0,0
1523223511.050000,0,0,0,0,0,0,0,0,0,0
1523223511.100000,0,0,0,0,0,0,0,0,0,0
1523223511.150000,0,0,0,0,0,0,0,0,0,0
1523223511.200000,0,0,0,0,0,0,0,0,0,0
1523223511.250000,0,0,0,0,0,0,0,0,0,0
1523223511.300000,0,0,0,0,0,0,0,0,0,0
1523223511.350000,0,0,0,0,0,0,0,0,0,0
1523223511.400000,0,0,0,0,0,0,0,0,0,0
1523223511.450000,0,0,0,0,0,0,0,0,0,0
1523223511.500000,0,0,0,0,0,0,0,0,0,0
1523223511.550000,0,0,0,0,0,0,0,0,0,0
1523223511.600000,0,0,0,0,0,0,0,0,0,0
1523223511.650000,0,0,0,0,0,0,0,0,0,0
1523223511.700000,0,0,0,0,0,0,0,0,0,0
1523223511.750000,0,0,0,0,0,0,0,0,0,0
1523223511.800000,0,0,0,0,0,0,0,0,0,0
1523223511.850000,0,0,0,0,0,0,0,0,0,0
1523223511.900000,0,0,0,0,0,0,0,0,0,0
1523223511.950000,0,0,0,0,0,0,0,0,0,0
1523223512.000000,0,0,0,0,0,0,0,0,0,0
1523223512.050000,0,0,0,0,0,0,0,0,0,0
1523223512.100000,0,0,0,0,0,0,0,0,0,0
1523223512.150000,0,0,0,0,0,0,0,0,0,0
1523223512.200000,0,0,0,0,0,0,0,0,0,0
1523223512.250000,0,0,0,0,0,0,0,0,0,0
1523223512.300000,0,0,0,0,0,0,0,0,0,0
1523223512.350000,0,0,0,0,0,0,0,0,0,0
1523223512.400000,0,0,0,0,0,0,0,0,0,0
1523223512.450000,0,0,0,0,0,0,0,0,0,0
1523223512.500000,0,0,0,0,0,0,0,0,0,0
1523223512.550000,0,0,0,0,0,0,0,0,0,0
1523223512.600000,0,0,0,0,0,0,0,0,0,0
1523223512.650000,0,0,0,0,0,0,0,0,0,0
1523223512.700000,0,0,0,0,0,0,0,0,0,0
1523223512.750000,0,0,0,0,0,0,0,0,0,0
1523223512.800000,0,0,0,0,0,0,0,0,0,0
1523223512.850000,0,0,0,0,0,0,0,0,0,0
1523223512.900000,0,0,0,0,0,0,0,0,0,0
1523223512.950000,0,0,0,0,0,0,0,0,0,0
1523223513.000000,0,0,0,0,0,0,0,0,0,0
1523223513.050000,0,0,0,0,0,0,0,0,0,0
1523223513.100000,0,0,0,0,0,0,0,0,0,0
1523223513.150000,0,0,0,0,0,0,0,0,0,0
1523223513.200000,0,0,0,0,0,0,0,0,0,0
1523223513.250000,0,0,0,0,0,0,0,0,0,0
1523223513.300000,0,0,0,0,0,0,0,0,0,0
1523223513.350000,0,0,0,0,0,0,0,0,0,0
1523223513.400000,0,0,0,0,0,0,0,0,0,0
1523223513.450000,0,0,0,0,0,0,0,0,0,0
1523223513.500000,0,0,0,0,0,0,0,0,0,0
1523223513.550000,0,0,0,0,0,0,0,0,0,0
1523223513.600000,0,0,0,0,0,0,0,0,0,0
1523223513.650000,0,0,0,0,0,0,0,0,0,0
1523223513.700000,0,0,0,0,0,0,0,0,0,0
1523223513.750000,0,0,0,0,0,0,0,0,0,0
1523223513.800000,0,0,0,0,0,0,0,0,0,0
1523223513.850000,0,0,0,0,0,0,0,0,0,0
1523223513.900000,0,0,0,0,0,0,0,0,0,0
1523223513.950000,0,0,0,0,0,0,0,0,0,0
1523223514.000000,0,0,0,0,0,0,0,0,0,0
1523223514.050000,0,0,0,0,0,0,0,0,0,0
1523223514.100000,0,0,0,0,0,0,0,0,0,0
1523223514.150000,0,0,0,0,0,0,0,0,0,0
1523223514.200000,0,0,0,0,0,0,0,0,0,0
1523223514.250000,0,0,0,0,0,0,0,0,0,0
1523223514.300000,0,0,0,0,0,0,0,0,0,0
1523223514.350000,0,0,0,0,0,0,0,0,0,0
1523223514.400000,0,0,0,0,0,0,0,0,0,0
1523223514.450000,0,0,0,0,0,0,0,0,0,0
1523223514.500000,0,0,0,0,0,0,0,0,0,0
1523223514.550000,0,0,0,0,0,0,0,0,0,0
1523223514.600000,0,0,0,0,0,0,0,0,0,0
1523223514.650000,0,0,0,0,0,0,0,0,0,0
1523223514.700000,0,0,0,0,0,0,0,0,0,0
1523223514.750000,0,0,0,0,0,0,0,0,0,0
1523223514.800000,0,0,0,0,0,0,0,0,0,0
1523223514.850000,0,0,0,0,0,0,0,0,0,0
1523223514.900000,0,0,0,0,0,0,0,0,0,0
1523223514.950000,0,0,0,0,0,0,0,0,0,0
1523223515.000000,0,0,0,0,0,0,0,0,0,0
1523223515.050000,0,0,0,0,0,0,0,0,0,0
1523223515.100000,0,0,0,0,0,0,0,0,0,0
1523223515.150000,0,0,0,0,0,0,0,0,0,0
1523223515.200000,0,0,0,0,0,0,0,0,0,0
1523223515.250000,0,0,0,0,0,0,0,0,0,0
1523223515.300000,0,0,0,0,0,0,0,0,0,0
1523223515.350000,0,0,0,0,0,0,0,0,0,0
1523223515.400000,0,0,0,0,0,0,0,0,0,0
1523223515.450000,0,0,0,0,0,0,0,0,0,0
1523223515.500000,0,0,0,0,0,0,0,0,0,0
1523223515.550000,0,0,0,0,0,0,0,0,0,0
1523223515.600000,0,0,0,0,0,0,0,0,0,0
1523223515.650000,0,0,0,0,0,0,0,0,0,0
1523223515.700000,0,0,0,0,0,0,0,0,0,0
1523223515.750000,0,0,0,0,0,0,0,0,0,0
1523223515.800000,0,0,0,0,0,0,0,0,0,0
1523223515.850000,0,0,0,0,0,0,0,0,0,0
1523223515.900000,0,0,0,0,0,0,0,0,0,0
1523223515.950000,0,0,0,0,0,0,0,0,0,0
1523223516.000000,0,0,0,0,0,0,0,0,0,0
1523223516.050000,0,0,0,0,0,0,0,0,0,0
1523223516.100000,0,0,0,0,0,0,0,0,0,0
1523223516.150000,0,0,0,0,0,0,0,0,0,0
1523223516.200000,0,0,0,0,0,0,0,0,0,0
1523223516.250000,0,0,0,0,0,0,0,0,0,0
1523223516.300000,0,0,0,0,0,0,0,0,0,0
1523223516.350000,0,0,0,0,0,0,0,0,0,0
1523223516.400000,0,0,0,0,0,0,0,0,0,0
1523223516.450000,0,0,0,0,0,0,0,0,0,0
1523223516.500000,0,0,0,0,0,0,0,0,0,0
1523223516.550000,0,0,0,0,0,0,0,0,0,0
1523223516.600000,0,0,0,0,0,0,0,0,0,0
1523223516.650000,0,0,0,0,0,0,0,0,0,0
1523223516.700000,0,0,0,0,0,0,0,0,0,0
1523223516.750000,0,0,0,0,0,0,0,0,0,0
1523223516.800000,0,0,0,0,0,0,0,0,0,0
1523223516.850000,0,0,0,0,0,0,0,0,0,0
1523223516.900000,0,0,0,0,0,0,0,0,0,0
1523223516.950000,0,0,0,0,0,0,0,0,0,0
1523223517.000000,0,0,0,0,0,0,0,0,0,0
1523223517.050000,0,0,0,0,0,0,0,0,0,0
1523223517.100000,0,0,0,0,0,0,0,0,0,0
1523223517.150000,0,0,0,0,0,0,0,0,0,0
1523223517.200000,0,0,0,0,0,0,0,0,0,0
1523223517.250000,0,0,0,0,0,0,0,0,0,0
1523223517.300000,0,0,0,0,0,0,0,0,0,0
1523223517.350000,0,0,0,0,0,0,0,0,0,0
1523223517.400000,0,0,0,0,0,0,0,0,0,0
1523223517.450000,0,0,0,0,0,0,0,0,0,0
1523223517.500000,0,0,0,0,0,0,0,0,0,0
1523223517.550000,0,0,0,0,0,0,0,0,0,0
1523223517.600000,0,0,0,0,0,0,0,0,0,0
1523223517.650000,0,0,0,0,0,0,0,0,0,0
1523223517.700000,0,0,0,0,0,0,0,0,0,0
1523223517.750000,0,0,0,0,0,0,0,0,0,0
1523223517.800000,0,0,0,0,0,0,0,0,0,0
1523223517.850000,0,0,0,0,0,0,0,0,0,0
1523223517.900000,0,0,0,0,0,0,0,0,0,0
1523223517.950000,0,0,0,0,0,0,0,0,0,0
1523223518.000000,0,0,0,0,0,0,0,0,0,0
1523223518.050000,0,0,0,0,0,0,0,0,0,0
1523223518.100000,0,0,0,0,0,0,0,0,0,0
1523223518.150000,0,0,0,0,0,0,0,0,0,0
1523223518.200000,0,0,0,0,0,0,0,0,0,0
1523223518.250000,0,0,0,0,0,0,0,0,0,0
1523223518.300000,0,0,0,0,0,0,0,0,0,0
1523223518.350000,0,0,0,0,0,0,0,0,0,0
1523223518.400000,0,0,0,0,0,0,0,0,0,0
1523223518.450000,0,0,0,0,0,0,0,0,0,0
1523223518.500000,0,0,0,0,0,0,0,0,0,0
1523223518.550000,0,0,0,0,0,0,0,0,0,0
1523223518.600000,0,0,0,0,0,0,0,0,0,0
1523223518.650000,0,0,0,0,0,0,0,0,0,0
1523223518.700000,0,0,0,0,0,0,0,0,0,0
1523223518.750000,0,0,0,0,0,0,0,0,0,0
1523223518.800000,0,0,0,0,0,0,0,0,0,0
1523223518.850000,0,0,0,0,0,0,0,0,0,0
1523223518.900000,0,0,0,0,0,0,0,0,0,0
1523223518.950000,0,0,0,0,0,0,0,0,0,0
1523223519.000000,0,0,0,0,0,0,0,0,0,0
1523223519.050000,0,0,0,0,0,0,0,0,0,0
1523223519.100000,0,0,0,0,0,0,0,0,0,0
1523223519.150000,0,0,0,0,0,0,0,0,0,0
1523223519.200000,0,0,0,0,0,0,0,0,0,0
1523223519.250000,0,0,0,0,0,0,0,0,0,0
1523223519.300000,0,0,0,0,0,0,0,0,0,0
1523223519.350000,0,0,0,0,0,0,0,0,0,0
1523223519.400000,0,0,0,0,0,0,0,0,0,0
1523223519.450000,0,0,0,0,0,0,0,0,0,0
1523223519.500000,0,0,0,0,0,0,0,0,0,0
1523223519.550000,0,0,0,0,0,0,0,0,0,0
1523223519.600000,0,0,0,0,0,0,0,0,0,0
1523223519.650000,0,0,0,0,0,0,0,0,0,0
1523223519.700000,0,0,0,0,0,0,0,0,0,0
1523223519.750000,0,0,0,0,0,0,0,0,0,0
1523223519.800000,0,0,0,0,0,0,0,0,0,0
1523223519.850000,0,0,0,0,0,0,0,0,0,0
1523223519.900000,0,0,0,0,0,0,0,0,0,0
1523223519.950000,0,0,0,0,0,0,0,0,0,0
1523223520.000000,0,0,0,0,0,0,0,0,0,0
1523223520.050000,0,0,0,0,0,0,0,0,0,0
1523223520.100000,0,0,0,0,0,0,0,0,0,0
1523223520.150000,0,0,0,0,0,0,0,0,0,0
1523223520.200000,0,0,0,0,0,0,0,0,0,0
1523223520.250000,0,0,0,0,0,0,0,0,0,0
1523223520.300000,0,0,0,0,0,0,0,0,0,0
1523223520.350000,0,0,0,0,0,0,0,0,0,0
1523223520.400000,0,0,0,0,0,0,0,0,0,0
1523223520.450000,0,0,0,0,0,0,0,0,0,0
1523223520.500000,0,0,0,0,0,0,0,0,0,0
1523223520.550000,0,0,0,0,0,0,0,0,0,0
1523223520.600000,0,0,0,0,0,0,0,0,0,0
1523223520.650000,0,0,0,0,0,0,0,0,0,0
1523223520.700000,0,0,0,0,0,0,0,0,0,0
1523223520.750000,0,0,0,0,0,0,0,0,0,0
1523223520.800000,0,0,0,0,0,0,0,0,0,0
1523223520.850000,0,0,0,0,0,0,0,0,0,0
1523223520.900000,0,0,0,0,0,0,0,0,0,0
1523223520.950000,0,0,0,0,0,0,0,0,0,0
1523223521.000000,0,0,0,0,0,0,0,0,0,0
1523223521.050000,0,0,0,0,0,0,0,0,0,0
1523223521.100000,0,0,0,0,0,0,0,0,0,0
1523223521.150000,0,0,0,0,0,0,0,0,0,0
1523223521.200000,0,0,0,0,0,0,0,0,0,0
1523223521.250000,0,0,0,0,0,0,0,0,0,0
1523223521.300000,0,0,0,0,0,0,0,0,0,0
1523223521.350000,0,0,0,0,0,0,0,0,0,0
1523223521.400000,0,0,0,0,0,0,0,0,0,0
1523223521.450000,0,0,0,0,0,0,0,0,0,0
1523223521.500000,0,0,0,0,0,0,0,0,0,0
1523223521.550000,0,0,0,0,0,0,0,0,0,0
1523223521.600000,0,0,0,0,0,0,0,0,0,0
1523223521.650000,0,0,0,0,0,0,0,0,0,0
1523223521.700000,0,0,0,0,0,0,0,0,0,0
1523223521.750000,0,0,0,0,0,0,0,0,0,0
